link,name,type
/wiki/T%E1%BA%ADp_tin:Nils_Gustaf_Dal%C3%A9n.jpg,Tập tin:Nils Gustaf Dalén.jpg,UNKNOWN
/wiki/Gustaf_Dal%C3%A9n,Gustaf Dalén,PERSON
/wiki/Th%E1%BB%A5y_%C4%90i%E1%BB%83n,Thụy Điển,UNKNOWN
#cite_note-19,Trang Chính,UNKNOWN
/wiki/1913,1913,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Kamerlingh_portret.jpg,Tập tin:Kamerlingh portret.jpg,UNKNOWN
/wiki/Heike_Kamerlingh_Onnes,Heike Kamerlingh Onnes,PERSON
/wiki/Heli_l%E1%BB%8Fng,Heli lỏng,UNKNOWN
#cite_note-20,Trang Chính,UNKNOWN
/wiki/1914,1914,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Max_von_Laue_1914.jpg,Tập tin:Max von Laue 1914.jpg,UNKNOWN
/wiki/Max_von_Laue,Max von Laue,PERSON
/wiki/Nhi%E1%BB%85u_x%E1%BA%A1_tia_X,Nhiễu xạ tia X,UNKNOWN
/wiki/Tinh_th%E1%BB%83,Tinh thể,UNKNOWN
#cite_note-21,Trang Chính,UNKNOWN
/wiki/1915,1915,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Wh-bragg.jpg,Tập tin:Wh-bragg.jpg,UNKNOWN
/wiki/William_Henry_Bragg,William Henry Bragg,PERSON
/wiki/C%E1%BA%A5u_tr%C3%BAc_tinh_th%E1%BB%83,Cấu trúc tinh thể,UNKNOWN
#cite_note-22,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Wl-bragg.jpg,Tập tin:Wl-bragg.jpg,UNKNOWN
/wiki/William_Lawrence_Bragg,William Lawrence Bragg,PERSON
/wiki/Adelaide,Adelaide,PLACE
/wiki/%C3%9Ac,Úc,PLACE
/wiki/1916,1916,UNKNOWN
/wiki/Chi%E1%BA%BFn_tranh_th%E1%BA%BF_gi%E1%BB%9Bi_th%E1%BB%A9_nh%E1%BA%A5t,Chiến tranh thế giới thứ nhất,UNKNOWN
/wiki/1917,1917,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Charles_Glover_Barkla.jpg,Tập tin:Charles Glover Barkla.jpg,UNKNOWN
/wiki/Charles_Glover_Barkla,Charles Glover Barkla,PERSON
/wiki/Nguy%C3%AAn_t%E1%BB%91,Nguyên tố,UNKNOWN
#cite_note-23,Trang Chính,UNKNOWN
/wiki/1918,1918,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Max_Planck_1933.jpg,Tập tin:Max Planck 1933.jpg,UNKNOWN
/wiki/Max_Planck,Max Planck,PERSON
/wiki/C%C6%A1_h%E1%BB%8Dc_l%C6%B0%E1%BB%A3ng_t%E1%BB%AD,Cơ học lượng tử,UNKNOWN
#cite_note-24,Trang Chính,UNKNOWN
/wiki/1919,1919,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Johannes_Stark.jpg,Tập tin:Johannes Stark.jpg,UNKNOWN
/wiki/Johannes_Stark,Johannes Stark,PERSON
/wiki/C%E1%BB%99ng_h%C3%B2a_Weimar,Cộng hòa Weimar,ORGANIZATION
/wiki/Hi%E1%BB%87u_%E1%BB%A9ng_Doppler,Hiệu ứng Doppler,UNKNOWN
#cite_note-25,Trang Chính,UNKNOWN
/wiki/1920,1920,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Guillaume_1920.jpg,Tập tin:Guillaume 1920.jpg,UNKNOWN
/wiki/Charles_%C3%89douard_Guillaume,Charles Édouard Guillaume,PERSON
/wiki/Th%E1%BB%A5y_S%C4%A9,Thụy Sĩ,PLACE
/wiki/H%E1%BB%A3p_kim,Hợp kim,UNKNOWN
/wiki/Th%C3%A9p,Thép,UNKNOWN
/wiki/Niken,Nickel,PLACE
#cite_note-26,Trang Chính,UNKNOWN
/wiki/1921,1921,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Albert_Einstein_(Nobel).jpg,Tập tin:Albert Einstein (Nobel).jpg,UNKNOWN
/wiki/Albert_Einstein,Albert Einstein,PERSON
/wiki/Ulm,Ulm,PLACE
/wiki/Hi%E1%BB%87u_%E1%BB%A9ng_quang_%C4%91i%E1%BB%87n,Hiệu ứng quang điện,UNKNOWN
/wiki/V%E1%BA%ADt_l%C3%BD_l%C3%BD_thuy%E1%BA%BFt,Vật lý lý thuyết,UNKNOWN
#cite_note-27,Trang Chính,UNKNOWN
/wiki/1922,1922,UNKNOWN
/wiki/Niels_Bohr,Niels Bohr,PERSON
/wiki/%C4%90an_M%E1%BA%A1ch,Đan Mạch,UNKNOWN
/wiki/Nguy%C3%AAn_t%E1%BB%AD,Nguyên tử,UNKNOWN
#cite_note-28,Trang Chính,UNKNOWN
/wiki/1923,1923,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Robert_Andrews_Millikan_1920s.jpg,Tập tin:Robert Andrews Millikan 1920s.jpg,UNKNOWN
/wiki/Robert_Millikan,Robert Millikan,PERSON
/wiki/%C4%90i%E1%BB%87n_t%C3%ADch,Điện tích,UNKNOWN
/wiki/Electron,Electron,EVENT
#cite_note-29,Trang Chính,UNKNOWN
/wiki/1924,1924,UNKNOWN
/wiki/T%E1%BA%ADp_tin:1924_Karl_Manne_Siegbahn.jpg,Tập tin:1924 Karl Manne Siegbahn.jpg,UNKNOWN
/wiki/Manne_Siegbahn,Manne Siegbahn,PERSON
/wiki/Ph%E1%BB%95_h%E1%BB%8Dc,Phổ học,UNKNOWN
#cite_note-30,Trang Chính,UNKNOWN
/wiki/1925,1925,UNKNOWN
/wiki/T%E1%BA%ADp_tin:James_Franck_1925.jpg,Tập tin:James Franck 1925.jpg,UNKNOWN
/wiki/James_Franck,James Franck,PERSON
#cite_note-31,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Gustav_Hertz.jpg,Tập tin:Gustav Hertz.jpg,UNKNOWN
/wiki/Gustav_Ludwig_Hertz,Gustav Ludwig Hertz,PERSON
/wiki/1926,1926,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Jean_Perrin_1926.jpg,Tập tin:Jean Perrin 1926.jpg,UNKNOWN
/wiki/Jean_Baptiste_Perrin,Jean Baptiste Perrin,PERSON
#cite_note-32,Trang Chính,UNKNOWN
/wiki/1927,1927,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Arthur_Compton_1927.jpg,Tập tin:Arthur Compton 1927.jpg,UNKNOWN
/wiki/Arthur_Compton,Arthur Compton,UNKNOWN
/wiki/Hi%E1%BB%87u_%E1%BB%A9ng_Compton,Hiệu ứng Compton,UNKNOWN
#cite_note-N1927-33,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:CTR_Wilson.jpg,Tập tin:CTR Wilson.jpg,UNKNOWN
/wiki/Charles_Thomson_Rees_Wilson,Charles Thomson Rees Wilson,PERSON
/w/index.php?title=Bu%E1%BB%93ng_m%C3%A2y&action=edit&redlink=1,Tạo Buồng mây,UNKNOWN
/wiki/1928,1928,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Owen_Richardson.jpg,Tập tin:Owen Richardson.jpg,UNKNOWN
/wiki/Owen_Willans_Richardson,Owen Willans Richardson,PERSON
/w/index.php?title=%C4%90%E1%BB%8Bnh_lu%E1%BA%ADt_Richardson&action=edit&redlink=1,Tạo Định luật Richardson,UNKNOWN
#cite_note-34,Trang Chính,UNKNOWN
/wiki/1929,1929,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Broglie_Big.jpg,Tập tin:Broglie Big.jpg,UNKNOWN
/wiki/Louis_de_Broglie,Louis de Broglie,PERSON
/w/index.php?title=Gi%E1%BA%A3_thuy%E1%BA%BFt_de_Broglie&action=edit&redlink=1,Tạo Giả thuyết de Broglie,UNKNOWN
/wiki/L%C6%B0%E1%BB%A1ng_t%C3%ADnh_s%C3%B3ng-h%E1%BA%A1t,Lưỡng tính sóng–hạt,UNKNOWN
#cite_note-35,Trang Chính,UNKNOWN
/wiki/1930,1930,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Sir_CV_Raman.JPG,Tập tin:Sir CV Raman.JPG,UNKNOWN
/wiki/Chandrasekhara_Venkata_Raman,Chandrasekhara Venkata Raman,PERSON
/wiki/Raj_thu%E1%BB%99c_Anh,Raj thuộc Anh,UNKNOWN
/wiki/Hi%E1%BB%87u_%E1%BB%A9ng_Raman,Tán xạ Raman,UNKNOWN
#cite_note-36,Trang Chính,UNKNOWN
/wiki/1931,1931,UNKNOWN
/wiki/1932,1932,UNKNOWN
"/wiki/T%E1%BA%ADp_tin:Bundesarchiv_Bild183-R57262,_Werner_Heisenberg.jpg","Tập tin:Bundesarchiv Bild183-R57262, Werner Heisenberg.jpg",UNKNOWN
/wiki/Werner_Heisenberg,Werner Heisenberg,PERSON
/wiki/Nguy%C3%AAn_l%C3%BD_b%E1%BA%A5t_%C4%91%E1%BB%8Bnh,Nguyên lý bất định,UNKNOWN
/wiki/D%E1%BA%A1ng_th%C3%B9_h%C3%ACnh,Thù hình,UNKNOWN
/wiki/Hi%C4%91r%C3%B4,Hydro,PLACE
#cite_note-37,Trang Chính,UNKNOWN
/wiki/1933,1933,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Erwin_Schr%C3%B6dinger_(1933).jpg,Tập tin:Erwin Schrödinger (1933).jpg,UNKNOWN
/wiki/Erwin_Schr%C3%B6dinger,Erwin Schrödinger,PERSON
/wiki/%C3%81o,Áo,PLACE
/wiki/Nguy%C3%AAn_t%E1%BB%AD#Lý_thuyết_nguyên_tử,Nguyên tử,UNKNOWN
#cite_note-38,Trang Chính,UNKNOWN
"/wiki/T%E1%BA%ADp_tin:Paul_Dirac,_1933.jpg","Tập tin:Paul Dirac, 1933.jpg",UNKNOWN
/wiki/Paul_Dirac,Paul Dirac,PERSON
/wiki/1934,1934,UNKNOWN
/wiki/1935,1935,UNKNOWN
/wiki/T%E1%BA%ADp_tin:James_Chadwick.tif,Tập tin:James Chadwick.tif,UNKNOWN
/wiki/James_Chadwick,James Chadwick,PERSON
/wiki/Neutron,Neutron,UNKNOWN
#cite_note-39,Trang Chính,UNKNOWN
/wiki/1936,1936,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Hess.jpg,Tập tin:Hess.jpg,UNKNOWN
/wiki/Victor_Francis_Hess,Victor Francis Hess,PERSON
/wiki/B%E1%BB%A9c_x%E1%BA%A1_v%C5%A9_tr%E1%BB%A5,Tia vũ trụ,UNKNOWN
#cite_note-N1936-40,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Carl_David_Anderson.jpg,Tập tin:Carl David Anderson.jpg,UNKNOWN
/wiki/Carl_David_Anderson,Carl David Anderson,PERSON
/wiki/Positron,Positron,UNKNOWN
/wiki/1937,1937,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Clinton_Davisson.jpg,Tập tin:Clinton Davisson.jpg,UNKNOWN
/wiki/Clinton_Davisson,Clinton Davisson,PERSON
#cite_note-41,Trang Chính,UNKNOWN
/wiki/T%E1%BA%ADp_tin:George_Paget_Thomson.jpg,Tập tin:George Paget Thomson.jpg,UNKNOWN
/wiki/George_Paget_Thomson,George Paget Thomson,PERSON
/wiki/1938,1938,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Enrico_Fermi_1943-49_140x190.jpg,Tập tin:Enrico Fermi 1943-49 140x190.jpg,UNKNOWN
/wiki/Enrico_Fermi,Enrico Fermi,PERSON
/wiki/Nguy%C3%AAn_t%E1%BB%91_ph%C3%B3ng_x%E1%BA%A1,Hạt nhân phóng xạ,UNKNOWN
/wiki/Ph%E1%BA%A3n_%E1%BB%A9ng_h%E1%BA%A1t_nh%C3%A2n,Phản ứng hạt nhân,UNKNOWN
#cite_note-42,Trang Chính,UNKNOWN
/wiki/1939,1939,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Ernest_Lawrence.jpg,Tập tin:Ernest Lawrence.jpg,UNKNOWN
/wiki/Ernest_Lawrence,Ernest Lawrence,PERSON
/wiki/M%C3%A1y_gia_t%E1%BB%91c_h%E1%BA%A1t,Máy gia tốc hạt,UNKNOWN
/wiki/Cyclotron,Cyclotron,UNKNOWN
#cite_note-43,Trang Chính,UNKNOWN
/wiki/1940,1940,UNKNOWN
/wiki/Chi%E1%BA%BFn_tranh_th%E1%BA%BF_gi%E1%BB%9Bi_th%E1%BB%A9_hai,Chiến tranh thế giới thứ hai,UNKNOWN
/wiki/1941,1941,UNKNOWN
/wiki/1942,1942,UNKNOWN
/wiki/1943,1943,UNKNOWN
/wiki/T%E1%BA%ADp_tin:Otto_Stern.jpg,Tập tin:Otto Stern.jpg,UNKNOWN
/wiki/Otto_Stern,Otto Stern,PERSON
/wiki/%C5%BBory,Żory,PLACE
